Year,Sex,Family status,Immigrant admission category,Landing age group,Income type,VALUE
2006,Both sexes,Principal applicants,"Skilled workers, principal applicants",25 to 34 years,All income,18300
2006,Both sexes,Principal applicants,"Skilled workers, principal applicants",35 to 44 years,All income,63000
2006,Both sexes,Principal applicants,"Skilled workers, principal applicants",45 to 54 years,All income,103000
2006,Both sexes,Principal applicants,"Skilled workers, principal applicants",55 to 64 years,All income,122000
2006,Both sexes,Spouses,"Business class, spouses and dependents",45 to 54 years,All income,35000
2006,Both sexes,Spouses,"Canadian experience class, spouses and dependents",25 to 34 years,All income,11400
2006,Both sexes,Spouses,"Canadian experience class, spouses and dependents",35 to 44 years,All income,29000
2006,Both sexes,Spouses,"Canadian experience class, spouses and dependents",45 to 54 years,All income,33000
2006,Both sexes,Spouses,"Canadian experience class, spouses and dependents",55 to 64 years,All income,21000
2006,Both sexes,Spouses,Family class - parent or grandparent,45 to 54 years,All income,21000
2006,Both sexes,Spouses,Family class - parent or grandparent,55 to 64 years,All income,27000
2006,Both sexes,Spouses,Family class - parent or grandparent,65 years and over,All income,18000
2006,Both sexes,Spouses,Humanitarian and compassionate cases,25 to 34 years,All income,15200
2006,Both sexes,Spouses,Humanitarian and compassionate cases,35 to 44 years,All income,16600
2006,Both sexes,Spouses,Humanitarian and compassionate cases,45 to 54 years,All income,19300
2006,Both sexes,Spouses,Humanitarian and compassionate cases,55 to 64 years,All income,21000
2006,Both sexes,Spouses,Humanitarian and compassionate cases,65 years and over,All income,15300
2006,Both sexes,Spouses,"Live-in caregivers, spouses and dependents",25 to 34 years,All income,11100
2006,Both sexes,Spouses,"Live-in caregivers, spouses and dependents",35 to 44 years,All income,22000
2006,Both sexes,Spouses,Other immigrants,45 to 54 years,All income,27000
2006,Both sexes,Spouses,"Provincial/territorial nominees, spouses and dependents",25 to 34 years,All income,9600
2006,Both sexes,Spouses,"Provincial/territorial nominees, spouses and dependents",35 to 44 years,All income,19500
2006,Both sexes,Spouses,"Provincial/territorial nominees, spouses and dependents",45 to 54 years,All income,22000
2006,Both sexes,Spouses,Refugee dependents,25 to 34 years,All income,17500
2006,Both sexes,Spouses,Refugee dependents,35 to 44 years,All income,23000
2006,Both sexes,Spouses,Refugee dependents,45 to 54 years,All income,28000
2006,Both sexes,Spouses,Refugees landed in Canada,25 to 34 years,All income,13900
2006,Both sexes,Spouses,Refugees landed in Canada,35 to 44 years,All income,15600
2006,Both sexes,Spouses,Refugees landed in Canada,45 to 54 years,All income,15200
2006,Both sexes,Spouses,Refugees landed in Canada,55 to 64 years,All income,14900
2006,Both sexes,Spouses,"Skilled workers, spouses and dependents",20 to 24 years,All income,4600
2006,Both sexes,Spouses,"Skilled workers, spouses and dependents",25 to 34 years,All income,14600
2006,Both sexes,Spouses,"Skilled workers, spouses and dependents",35 to 44 years,All income,27000
2006,Both sexes,Spouses,"Skilled workers, spouses and dependents",45 to 54 years,All income,30000
2006,Both sexes,Spouses,"Skilled workers, spouses and dependents",55 to 64 years,All income,27000
2006,Females,Dependents,Humanitarian and compassionate cases,20 to 24 years,All income,7100
2006,Females,Dependents,Humanitarian and compassionate cases,25 to 34 years,All income,16000
2006,Females,Dependents,Humanitarian and compassionate cases,35 to 44 years,All income,19000
2006,Females,Dependents,Humanitarian and compassionate cases,Less than 20 years,All income,3800
2006,Females,Dependents,"Live-in caregivers, spouses and dependents",35 to 44 years,All income,17300
2006,Females,Dependents,Refugees landed in Canada,20 to 24 years,All income,6100
2006,Females,Dependents,Refugees landed in Canada,25 to 34 years,All income,11900
2006,Females,Dependents,Refugees landed in Canada,35 to 44 years,All income,11900
2006,Females,Dependents,Refugees landed in Canada,45 to 54 years,All income,8400
2006,Females,Dependents,"Skilled workers, spouses and dependents",20 to 24 years,All income,2600
2006,Females,Dependents,"Skilled workers, spouses and dependents",25 to 34 years,All income,5800
2006,Females,Principal applicants,"Canadian experience class, principal applicants",20 to 24 years,All income,5600
2006,Females,Principal applicants,"Canadian experience class, principal applicants",25 to 34 years,All income,10000
2006,Females,Principal applicants,"Canadian experience class, principal applicants",35 to 44 years,All income,40000
2006,Females,Principal applicants,"Canadian experience class, principal applicants",45 to 54 years,All income,95000
2006,Females,Principal applicants,"Canadian experience class, principal applicants",55 to 64 years,All income,41000
2006,Females,Principal applicants,Family class - parent or grandparent,45 to 54 years,All income,12800
2006,Females,Principal applicants,Family class - parent or grandparent,55 to 64 years,All income,14600
2006,Females,Principal applicants,Family class - parent or grandparent,65 years and over,All income,1930
2006,Females,Principal applicants,Family class - spouses and partners,20 to 24 years,All income,9700
2006,Females,Principal applicants,Family class - spouses and partners,25 to 34 years,All income,14000
2006,Females,Principal applicants,Family class - spouses and partners,35 to 44 years,All income,27000
2006,Females,Principal applicants,Family class - spouses and partners,45 to 54 years,All income,28000
2006,Females,Principal applicants,Family class - spouses and partners,55 to 64 years,All income,20000
2006,Females,Principal applicants,Family class - spouses and partners,65 years and over,All income,33000
2006,Females,Principal applicants,Humanitarian and compassionate cases,20 to 24 years,All income,11000
2006,Females,Principal applicants,Humanitarian and compassionate cases,25 to 34 years,All income,17200
2006,Females,Principal applicants,Humanitarian and compassionate cases,35 to 44 years,All income,19600
2006,Females,Principal applicants,Humanitarian and compassionate cases,45 to 54 years,All income,20000
2006,Females,Principal applicants,Humanitarian and compassionate cases,55 to 64 years,All income,17700
2006,Females,Principal applicants,Humanitarian and compassionate cases,65 years and over,All income,10200
2006,Females,Principal applicants,"Live-in caregivers, principal applicants",20 to 24 years,All income,11100
2006,Females,Principal applicants,"Live-in caregivers, principal applicants",25 to 34 years,All income,12400
2006,Females,Principal applicants,"Live-in caregivers, principal applicants",35 to 44 years,All income,13400
2006,Females,Principal applicants,"Live-in caregivers, principal applicants",45 to 54 years,All income,14200
2006,Females,Principal applicants,"Live-in caregivers, principal applicants",55 to 64 years,All income,13700
2006,Females,Principal applicants,Other immigrants,25 to 34 years,All income,17200
2006,Females,Principal applicants,Other immigrants,35 to 44 years,All income,22000
2006,Females,Principal applicants,Other immigrants,45 to 54 years,All income,23000
2006,Females,Principal applicants,Other immigrants,55 to 64 years,All income,9800
2006,Females,Principal applicants,"Provincial/territorial nominees, principal applicants",20 to 24 years,All income,5100
2006,Females,Principal applicants,"Provincial/territorial nominees, principal applicants",25 to 34 years,All income,7700
2006,Females,Principal applicants,"Provincial/territorial nominees, principal applicants",35 to 44 years,All income,25000
2006,Females,Principal applicants,Refugees landed in Canada,20 to 24 years,All income,8800
2006,Females,Principal applicants,Refugees landed in Canada,25 to 34 years,All income,13900
2006,Females,Principal applicants,Refugees landed in Canada,35 to 44 years,All income,12700
2006,Females,Principal applicants,Refugees landed in Canada,45 to 54 years,All income,13600
2006,Females,Principal applicants,Refugees landed in Canada,55 to 64 years,All income,9900
2006,Females,Principal applicants,"Skilled workers, principal applicants",20 to 24 years,All income,10200
2006,Females,Principal applicants,"Skilled workers, principal applicants",25 to 34 years,All income,16300
2006,Females,Principal applicants,"Skilled workers, principal applicants",35 to 44 years,All income,49000
2006,Females,Principal applicants,"Skilled workers, principal applicants",45 to 54 years,All income,75000
2006,Females,Principal applicants,"Skilled workers, principal applicants",55 to 64 years,All income,51000
2006,Females,Spouses,"Business class, spouses and dependents",45 to 54 years,All income,35000
2006,Females,Spouses,"Canadian experience class, spouses and dependents",25 to 34 years,All income,11000
2006,Females,Spouses,"Canadian experience class, spouses and dependents",35 to 44 years,All income,26000
2006,Females,Spouses,"Canadian experience class, spouses and dependents",45 to 54 years,All income,27000
2006,Females,Spouses,"Canadian experience class, spouses and dependents",55 to 64 years,All income,21000
2006,Females,Spouses,Family class - parent or grandparent,45 to 54 years,All income,23000
2006,Females,Spouses,Family class - parent or grandparent,55 to 64 years,All income,16800
2006,Females,Spouses,Family class - parent or grandparent,65 years and over,All income,29000
2006,Females,Spouses,Humanitarian and compassionate cases,25 to 34 years,All income,15000
2006,Females,Spouses,Humanitarian and compassionate cases,35 to 44 years,All income,16000
2006,Females,Spouses,Humanitarian and compassionate cases,45 to 54 years,All income,18200
2006,Females,Spouses,Humanitarian and compassionate cases,55 to 64 years,All income,17900
2006,Females,Spouses,Other immigrants,45 to 54 years,All income,21000
2006,Females,Spouses,"Provincial/territorial nominees, spouses and dependents",25 to 34 years,All income,10100
2006,Females,Spouses,"Provincial/territorial nominees, spouses and dependents",35 to 44 years,All income,17100
2006,Females,Spouses,"Provincial/territorial nominees, spouses and dependents",45 to 54 years,All income,22000
2006,Females,Spouses,Refugee dependents,25 to 34 years,All income,11800
2006,Females,Spouses,Refugees landed in Canada,25 to 34 years,All income,12500
2006,Females,Spouses,Refugees landed in Canada,35 to 44 years,All income,12900
2006,Females,Spouses,Refugees landed in Canada,45 to 54 years,All income,15400
2006,Females,Spouses,Refugees landed in Canada,55 to 64 years,All income,7900
2006,Females,Spouses,"Skilled workers, spouses and dependents",20 to 24 years,All income,3400
2006,Females,Spouses,"Skilled workers, spouses and dependents",25 to 34 years,All income,13900
2006,Females,Spouses,"Skilled workers, spouses and dependents",35 to 44 years,All income,22000
2006,Females,Spouses,"Skilled workers, spouses and dependents",45 to 54 years,All income,22000
2006,Females,Spouses,"Skilled workers, spouses and dependents",55 to 64 years,All income,27000
2006,Males,Dependents,"Business class, spouses and dependents",25 to 34 years,All income,4600
2006,Males,Dependents,Family class - parent or grandparent,25 to 34 years,All income,9500
2006,Males,Dependents,Humanitarian and compassionate cases,20 to 24 years,All income,7900
2006,Males,Dependents,Humanitarian and compassionate cases,25 to 34 years,All income,19000
2006,Males,Dependents,Humanitarian and compassionate cases,Less than 20 years,All income,5000
2006,Males,Dependents,Refugee dependents,20 to 24 years,All income,5900
2006,Males,Dependents,Refugee dependents,25 to 34 years,All income,14600
2006,Males,Dependents,Refugee dependents,35 to 44 years,All income,38000
2006,Males,Dependents,Refugees landed in Canada,20 to 24 years,All income,7600
2006,Males,Dependents,Refugees landed in Canada,25 to 34 years,All income,11100
2006,Males,Dependents,"Skilled workers, spouses and dependents",20 to 24 years,All income,8000
2006,Males,Dependents,"Skilled workers, spouses and dependents",25 to 34 years,All income,12800
2006,Males,Principal applicants,"Business class, principal applicants",45 to 54 years,All income,47000
2006,Males,Principal applicants,"Business class, principal applicants",55 to 64 years,All income,57000
2006,Males,Principal applicants,"Canadian experience class, principal applicants",20 to 24 years,All income,10200
2006,Males,Principal applicants,"Canadian experience class, principal applicants",25 to 34 years,All income,15700
2006,Males,Principal applicants,"Canadian experience class, principal applicants",35 to 44 years,All income,86000
2006,Males,Principal applicants,"Canadian experience class, principal applicants",45 to 54 years,All income,210000
2006,Males,Principal applicants,"Canadian experience class, principal applicants",55 to 64 years,All income,169000
2006,Males,Principal applicants,Family class - parent or grandparent,55 to 64 years,All income,25000
2006,Males,Principal applicants,Family class - parent or grandparent,65 years and over,All income,24000
2006,Males,Principal applicants,Family class - spouses and partners,20 to 24 years,All income,11000
2006,Males,Principal applicants,Family class - spouses and partners,25 to 34 years,All income,21000
2006,Males,Principal applicants,Family class - spouses and partners,35 to 44 years,All income,34000
2006,Males,Principal applicants,Family class - spouses and partners,45 to 54 years,All income,47000
2006,Males,Principal applicants,Family class - spouses and partners,55 to 64 years,All income,76000
2006,Males,Principal applicants,Family class - spouses and partners,65 years and over,All income,51000
2006,Males,Principal applicants,Humanitarian and compassionate cases,20 to 24 years,All income,14700
2006,Males,Principal applicants,Humanitarian and compassionate cases,25 to 34 years,All income,23000
2006,Males,Principal applicants,Humanitarian and compassionate cases,35 to 44 years,All income,29000
2006,Males,Principal applicants,Humanitarian and compassionate cases,45 to 54 years,All income,28000
2006,Males,Principal applicants,Humanitarian and compassionate cases,55 to 64 years,All income,26000
2006,Males,Principal applicants,Humanitarian and compassionate cases,65 years and over,All income,21000
2006,Males,Principal applicants,"Live-in caregivers, principal applicants",25 to 34 years,All income,11200
2006,Males,Principal applicants,"Live-in caregivers, principal applicants",35 to 44 years,All income,12400
2006,Males,Principal applicants,"Live-in caregivers, principal applicants",45 to 54 years,All income,12400
2006,Males,Principal applicants,Other immigrants,25 to 34 years,All income,23000
2006,Males,Principal applicants,Other immigrants,35 to 44 years,All income,36000
2006,Males,Principal applicants,Other immigrants,45 to 54 years,All income,53000
2006,Males,Principal applicants,Other immigrants,55 to 64 years,All income,75000
2006,Males,Principal applicants,"Provincial/territorial nominees, principal applicants",20 to 24 years,All income,12800
2006,Males,Principal applicants,"Provincial/territorial nominees, principal applicants",25 to 34 years,All income,17300
2006,Males,Principal applicants,"Provincial/territorial nominees, principal applicants",35 to 44 years,All income,45000
2006,Males,Principal applicants,"Provincial/territorial nominees, principal applicants",45 to 54 years,All income,49000
2006,Males,Principal applicants,"Provincial/territorial nominees, principal applicants",55 to 64 years,All income,137000
2006,Males,Principal applicants,Refugee dependents,35 to 44 years,All income,35000
2006,Males,Principal applicants,Refugees landed in Canada,20 to 24 years,All income,8300
2006,Males,Principal applicants,Refugees landed in Canada,25 to 34 years,All income,16500
2006,Males,Principal applicants,Refugees landed in Canada,35 to 44 years,All income,22000
2006,Males,Principal applicants,Refugees landed in Canada,45 to 54 years,All income,21000
2006,Males,Principal applicants,Refugees landed in Canada,55 to 64 years,All income,17000
2006,Males,Principal applicants,Refugees landed in Canada,65 years and over,All income,11700
2006,Males,Principal applicants,"Skilled workers, principal applicants",20 to 24 years,All income,11100
2006,Males,Principal applicants,"Skilled workers, principal applicants",25 to 34 years,All income,19600
2006,Males,Principal applicants,"Skilled workers, principal applicants",35 to 44 years,All income,66000
2006,Males,Principal applicants,"Skilled workers, principal applicants",45 to 54 years,All income,111000
2006,Males,Principal applicants,"Skilled workers, principal applicants",55 to 64 years,All income,139000
2006,Males,Spouses,"Canadian experience class, spouses and dependents",25 to 34 years,All income,11900
2006,Males,Spouses,"Canadian experience class, spouses and dependents",35 to 44 years,All income,38000
2006,Males,Spouses,"Canadian experience class, spouses and dependents",45 to 54 years,All income,43000
2006,Males,Spouses,Family class - parent or grandparent,55 to 64 years,All income,39000
2006,Males,Spouses,Family class - parent or grandparent,65 years and over,All income,9400
2006,Males,Spouses,Humanitarian and compassionate cases,25 to 34 years,All income,17600
2006,Males,Spouses,Humanitarian and compassionate cases,35 to 44 years,All income,23000
2006,Males,Spouses,Humanitarian and compassionate cases,45 to 54 years,All income,34000
2006,Males,Spouses,Humanitarian and compassionate cases,55 to 64 years,All income,34000
2006,Males,Spouses,"Live-in caregivers, spouses and dependents",35 to 44 years,All income,27000
2006,Males,Spouses,"Provincial/territorial nominees, spouses and dependents",25 to 34 years,All income,8400
2006,Males,Spouses,"Provincial/territorial nominees, spouses and dependents",35 to 44 years,All income,39000
2006,Males,Spouses,Refugee dependents,25 to 34 years,All income,19800
2006,Males,Spouses,Refugee dependents,35 to 44 years,All income,24000
2006,Males,Spouses,Refugee dependents,45 to 54 years,All income,31000
2006,Males,Spouses,Refugees landed in Canada,35 to 44 years,All income,23000
2006,Males,Spouses,"Skilled workers, spouses and dependents",25 to 34 years,All income,15900
2006,Males,Spouses,"Skilled workers, spouses and dependents",35 to 44 years,All income,39000
2006,Males,Spouses,"Skilled workers, spouses and dependents",45 to 54 years,All income,44000
2007,Both sexes,Dependents,"Business class, spouses and dependents",20 to 24 years,All income,4700
2007,Both sexes,Dependents,"Business class, spouses and dependents",25 to 34 years,All income,6300
2007,Both sexes,Dependents,"Canadian experience class, spouses and dependents",20 to 24 years,All income,17700
2007,Both sexes,Dependents,Family class - parent or grandparent,20 to 24 years,All income,4400
2007,Both sexes,Dependents,Family class - parent or grandparent,25 to 34 years,All income,11100
2007,Both sexes,Dependents,Family class - spouses and partners,20 to 24 years,All income,7500
2007,Both sexes,Dependents,Humanitarian and compassionate cases,20 to 24 years,All income,10400
2007,Both sexes,Dependents,Humanitarian and compassionate cases,25 to 34 years,All income,18000
2007,Both sexes,Dependents,Humanitarian and compassionate cases,35 to 44 years,All income,17800
2007,Both sexes,Dependents,Humanitarian and compassionate cases,45 to 54 years,All income,44000
2007,Both sexes,Dependents,Humanitarian and compassionate cases,Less than 20 years,All income,6400
2007,Both sexes,Dependents,"Live-in caregivers, spouses and dependents",25 to 34 years,All income,13400
2007,Both sexes,Dependents,"Live-in caregivers, spouses and dependents",35 to 44 years,All income,16900
2007,Both sexes,Dependents,"Live-in caregivers, spouses and dependents",45 to 54 years,All income,12500
2007,Both sexes,Dependents,"Provincial/territorial nominees, spouses and dependents",20 to 24 years,All income,8600
2007,Both sexes,Dependents,Refugee dependents,20 to 24 years,All income,9600
2007,Both sexes,Dependents,Refugee dependents,25 to 34 years,All income,18200
2007,Both sexes,Dependents,Refugee dependents,35 to 44 years,All income,22000
2007,Both sexes,Dependents,Refugee dependents,45 to 54 years,All income,19600
2007,Both sexes,Dependents,Refugees landed in Canada,20 to 24 years,All income,9200
2007,Both sexes,Dependents,Refugees landed in Canada,25 to 34 years,All income,15100
2007,Both sexes,Dependents,Refugees landed in Canada,35 to 44 years,All income,11000
2007,Both sexes,Dependents,Refugees landed in Canada,45 to 54 years,All income,14200
2007,Both sexes,Dependents,Refugees landed in Canada,Less than 20 years,All income,3700
2007,Both sexes,Dependents,"Skilled workers, spouses and dependents",20 to 24 years,All income,8400
2007,Both sexes,Dependents,"Skilled workers, spouses and dependents",25 to 34 years,All income,12000
2007,Both sexes,Principal applicants,"Business class, principal applicants",35 to 44 years,All income,35000
2007,Both sexes,Principal applicants,"Business class, principal applicants",45 to 54 years,All income,47000
2007,Both sexes,Principal applicants,"Business class, principal applicants",55 to 64 years,All income,79000
2007,Both sexes,Principal applicants,"Canadian experience class, principal applicants",20 to 24 years,All income,12100
2007,Both sexes,Principal applicants,"Canadian experience class, principal applicants",25 to 34 years,All income,17900
2007,Both sexes,Principal applicants,"Canadian experience class, principal applicants",35 to 44 years,All income,87000
2007,Both sexes,Principal applicants,"Canadian experience class, principal applicants",45 to 54 years,All income,210000
2007,Both sexes,Principal applicants,"Canadian experience class, principal applicants",55 to 64 years,All income,141000
2007,Both sexes,Principal applicants,"Canadian experience class, principal applicants",65 years and over,All income,158000
2007,Both sexes,Principal applicants,Family class - parent or grandparent,45 to 54 years,All income,27000
2007,Both sexes,Principal applicants,Family class - parent or grandparent,55 to 64 years,All income,16700
2007,Both sexes,Principal applicants,Family class - parent or grandparent,65 years and over,All income,17300
2007,Both sexes,Principal applicants,Family class - spouses and partners,20 to 24 years,All income,12700
2007,Both sexes,Principal applicants,Family class - spouses and partners,25 to 34 years,All income,19800
2007,Both sexes,Principal applicants,Family class - spouses and partners,35 to 44 years,All income,35000
2007,Both sexes,Principal applicants,Family class - spouses and partners,45 to 54 years,All income,40000
2007,Both sexes,Principal applicants,Family class - spouses and partners,55 to 64 years,All income,71000
2007,Both sexes,Principal applicants,Family class - spouses and partners,65 years and over,All income,37000
2007,Both sexes,Principal applicants,Humanitarian and compassionate cases,20 to 24 years,All income,15200
2007,Both sexes,Principal applicants,Humanitarian and compassionate cases,25 to 34 years,All income,22000
2007,Both sexes,Principal applicants,Humanitarian and compassionate cases,35 to 44 years,All income,27000
2007,Both sexes,Principal applicants,Humanitarian and compassionate cases,45 to 54 years,All income,26000
2007,Both sexes,Principal applicants,Humanitarian and compassionate cases,55 to 64 years,All income,24000
2007,Both sexes,Principal applicants,Humanitarian and compassionate cases,65 years and over,All income,23000
2007,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",20 to 24 years,All income,14300
2007,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",25 to 34 years,All income,14400
2007,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",35 to 44 years,All income,14900
2007,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",45 to 54 years,All income,15300
2007,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",55 to 64 years,All income,16100
2007,Both sexes,Principal applicants,"Live-in caregivers, principal applicants",65 years and over,All income,12000
2007,Both sexes,Principal applicants,Other immigrants,20 to 24 years,All income,7900
2007,Both sexes,Principal applicants,Other immigrants,25 to 34 years,All income,27000
2007,Both sexes,Principal applicants,Other immigrants,35 to 44 years,All income,31000
2007,Both sexes,Principal applicants,Other immigrants,45 to 54 years,All income,46000
2007,Both sexes,Principal applicants,Other immigrants,55 to 64 years,All income,48000
2007,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",20 to 24 years,All income,16200
2007,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",25 to 34 years,All income,19400
2007,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",35 to 44 years,All income,56000
2007,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",45 to 54 years,All income,66000
2007,Both sexes,Principal applicants,"Provincial/territorial nominees, principal applicants",55 to 64 years,All income,141000
2007,Both sexes,Principal applicants,Refugee dependents,25 to 34 years,All income,26000
2007,Both sexes,Principal applicants,Refugee dependents,35 to 44 years,All income,34000
2007,Both sexes,Principal applicants,Refugees landed in Canada,20 to 24 years,All income,10700
2007,Both sexes,Principal applicants,Refugees landed in Canada,25 to 34 years,All income,15100
2007,Both sexes,Principal applicants,Refugees landed in Canada,35 to 44 years,All income,17600
2007,Both sexes,Principal applicants,Refugees landed in Canada,45 to 54 years,All income,17300
2007,Both sexes,Principal applicants,Refugees landed in Canada,55 to 64 years,All income,13600
2007,Both sexes,Principal applicants,Refugees landed in Canada,65 years and over,All income,13900
2007,Both sexes,Principal applicants,Refugees landed in Canada,Less than 20 years,All income,8800
2007,Both sexes,Principal applicants,"Skilled workers, principal applicants",20 to 24 years,All income,22000
2007,Both sexes,Principal applicants,"Skilled workers, principal applicants",25 to 34 years,All income,26000
2007,Both sexes,Principal applicants,"Skilled workers, principal applicants",35 to 44 years,All income,73000
2007,Both sexes,Principal applicants,"Skilled workers, principal applicants",45 to 54 years,All income,113000
2007,Both sexes,Principal applicants,"Skilled workers, principal applicants",55 to 64 years,All income,131000
2007,Both sexes,Spouses,"Business class, spouses and dependents",35 to 44 years,All income,31000
2007,Both sexes,Spouses,"Business class, spouses and dependents",45 to 54 years,All income,34000
2007,Both sexes,Spouses,"Business class, spouses and dependents",55 to 64 years,All income,30000
2007,Both sexes,Spouses,"Canadian experience class, spouses and dependents",20 to 24 years,All income,6900
